M_Msun,M_unc,R_Rsun,R_unc
0.49,0.101,0.02313,0.00147
0.516,0.091,0.01351,0.00046
0.86,0.102,0.01038,0.00015
0.573,0.069,0.01391,0.00026
0.549,0.081,0.01185,0.00055
0.687,0.086,0.01169,0.00028
0.561,0.075,0.01171,0.00039
0.842,0.152,0.01207,0.00048
0.478,0.064,0.01329,0.00044
0.615,0.328,0.0127,0.00043
1.021,0.228,0.01314,0.00052
0.85,0.121,0.01425,0.00059
0.539,0.055,0.01273,0.00027
0.492,0.076,0.01303,0.00068
0.521,0.055,0.01388,0.00034
0.409,0.048,0.01122,0.00042
0.449,0.07,0.01189,0.00041
0.47,0.069,0.01333,0.0009
0.573,0.071,0.01239,0.00029
0.597,0.103,0.01184,0.00077
0.985,0.329,0.01219,0.00037
0.593,0.151,0.01336,0.00097
0.944,0.417,0.01063,0.00066
0.395,0.171,0.01281,0.00046
0.733,0.12,0.01179,0.00052
0.361,0.077,0.01117,0.00101
